Name,Category,Sub District,City
AMBARKETAWANG,Urban,GAMPING,SLEMAN
NGESTIHARJO,Urban,KASIHAN,BANTUL
JAGALAN,Urban,BANGUNTAPAN,BANTUL
SINGOSAREN,Urban,BANGUNTAPAN,BANTUL
BANGUNTAPAN,Urban,BANGUNTAPAN,BANTUL
BATURETNO,Urban,BANGUNTAPAN,BANTUL
POTORONO,Urban,BANGUNTAPAN,BANTUL
SIDOMOYO,Urban,GODEAN,SLEMAN
SIDOARUM,Urban,GODEAN,SLEMAN
BANYURADEN,Urban,GAMPING,SLEMAN
NOGOTIRTO,Urban,GAMPING,SLEMAN
TRIHANGGO,Urban,GAMPING,SLEMAN
SINDUADI,Urban,MLATI,SLEMAN
CONDONG CATUR,Urban,DEPOK,SLEMAN
CATUR TUNGGAL,Urban,DEPOK,SLEMAN
MAGUWOHARJO,Urban,DEPOK,SLEMAN
SENDANG TIRTO,Urban,BERBAH,SLEMAN
PATANGPULUHAN,Urban,WIROBRAJAN,YOGYAKARTA
WIROBRAJAN,Urban,WIROBRAJAN,YOGYAKARTA
TEGALREJO,Urban,TEGALREJO,YOGYAKARTA
PAKUNCEN,Urban,WIROBRAJAN,YOGYAKARTA
BENER,Urban,TEGALREJO,YOGYAKARTA
GEDONGKIWO,Urban,MANTRIJERON,YOGYAKARTA
NGAMPILAN,Urban,NGAMPILAN,YOGYAKARTA
NOTOPRAJAN,Urban,NGAMPILAN,YOGYAKARTA
SURYODININGRATAN,Urban,MANTRIJERON,YOGYAKARTA
PATEHAN,Urban,KRATON,YOGYAKARTA
KADIPATEN,Urban,KRATON,YOGYAKARTA
KRICAK,Urban,TEGALREJO,YOGYAKARTA
BACIRO,Urban,GONDOKUSUMAN,YOGYAKARTA
DEMANGAN,Urban,GONDOKUSUMAN,YOGYAKARTA
KLITREN,Urban,GONDOKUSUMAN,YOGYAKARTA
KOTABARU,Urban,GONDOKUSUMAN,YOGYAKARTA
MUJA MUJU,Urban,UMBULHARJO,YOGYAKARTA
NGUPASAN,Urban,GONDOMANAN,YOGYAKARTA
SEMAKI,Urban,UMBULHARJO,YOGYAKARTA
SURYATMAJAN,Urban,DANUREJAN,YOGYAKARTA
TAHUNAN,Urban,UMBULHARJO,YOGYAKARTA
TEGAL PANGGUNG,Urban,DANUREJAN,YOGYAKARTA
TERBAN,Urban,GONDOKUSUMAN,YOGYAKARTA
WARUNGBOTO,Urban,UMBULHARJO,YOGYAKARTA
BUMIJO,Urban,JETIS,YOGYAKARTA
MANTRIJERON,Urban,MANTRIJERON,YOGYAKARTA
PANEMBAHAN,Urban,KRATON,YOGYAKARTA
KARANGWARU,Urban,TEGALREJO,YOGYAKARTA
PRAWIRODIRJAN,Urban,GONDOMANAN,YOGYAKARTA
COKRODININGRATAN,Urban,JETIS,YOGYAKARTA
BRONTOKUSUMAN,Urban,MERGANGSAN,YOGYAKARTA
KEPARAKAN,Urban,MERGANGSAN,YOGYAKARTA
WIROGUNAN,Urban,MERGANGSAN,YOGYAKARTA
SOROSUTAN,Urban,UMBULHARJO,YOGYAKARTA
GOWONGAN,Urban,JETIS,YOGYAKARTA
PANDEYAN,Urban,UMBULHARJO,YOGYAKARTA
GIWANGAN,Urban,UMBULHARJO,YOGYAKARTA
REJOWINANGUN,Urban,KOTAGEDE,YOGYAKARTA
PRENGGAN,Urban,KOTAGEDE,YOGYAKARTA
PURBAYAN,Urban,KOTAGEDE,YOGYAKARTA
SEKOLAH TINGGI TEKNIK LINGKUNGAN,College,BANGUNTAPAN,BANTUL
STMIK AKAKOM,College,BANGUNTAPAN,BANTUL
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,College,KASIHAN,BANTUL
UNIVERSITAS PGRI YOGYAKARTA,College,KASIHAN,BANTUL
UNIVERSITAS TEKNOLOGI YOGYAKARTA,College,MLATI,SLEMAN
AKADEMI KOMUNIKASI YOGYAKARTA,College,DEPOK,SLEMAN
INSTITUT PERTANIAN STIPER,College,DEPOK,SLEMAN
POLITEKNIK API,College,DEPOK,SLEMAN
SEKOLAH TINGGI PARIWISATA AMPTA YOGYAKARTA,College,DEPOK,SLEMAN
UNIVERSITAS ATMA JAYA YOGYAKARTA,College,DEPOK,SLEMAN
UNIVERSITAS GADJAH MADA,College,DEPOK,SLEMAN
UNIVERSITAS NEGERI YOGYAKARTA,College,DEPOK,SLEMAN
UPN VETERAN YOGYAKARTA,College,DEPOK,SLEMAN
UNIVERSITAS PROKLAMASI 45,College,DEPOK,SLEMAN
UNIVERSITAS SANATA DHARMA,College,DEPOK,SLEMAN
AKADEMI PERIKANAN YOGYAKARTA,College,UMBULHARJO,YOGYAKARTA
UNIVERSITAS AHMAD DAHLAN,College,UMBULHARJO,YOGYAKARTA
UNIVERSITAS COKROAMINOTO,College,UMBULHARJO,YOGYAKARTA
UNIVERSITAS SARJANAWIYATA TAMANSISWA,College,UMBULHARJO,YOGYAKARTA
